DC_PRODUTO,TOKENS,TAGS
"LINHA DE MADEIRA 5,5X14","['LINHA', 'DE', 'MADEIRA', '5,5X14']","[0, 0, 0, 0]"
LINHAS,['LINHAS'],[0]
MADEIRA SERRADA SARRAFOS DA ESPECIE BARROTE,"['MADEIRA', 'SERRADA', 'SARRAFOS', 'DA', 'ESPECIE', 'BARROTE']","[0, 0, 0, 0, 0, 0]"
PALITO PICOLE 100 UN BAMBU BILLA,"['PALITO', 'PICOLE', '100', 'UN', 'BAMBU', 'BILLA']","[0, 0, 0, 0, 0, 0]"
ANDIROBA MADEIRA SERRADA EM SARRAFOS,"['ANDIROBA', 'MADEIRA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0]"
CAIBRO MADEIRA GUAJARA 1 50 A 2 50MT,"['CAIBRO', 'MADEIRA', 'GUAJARA', '1', '50', 'A', '2', '50MT']","[0, 0, 0, 0, 0, 0, 0, 0]"
ROXINHO SERRADO EM TABUA,"['ROXINHO', 'SERRADO', 'EM', 'TABUA']","[0, 0, 0, 0]"
"LINHA MASSA 5,0X10 6,5MT-MADEIRA","['LINHA', 'MASSA', '5,0X10', '6,5MT-MADEIRA']","[0, 0, 0, 0]"
"LINHA ANGELIM 5,0X18 3X8 7,50 ZANI","['LINHA', 'ANGELIM', '5,0X18', '3X8', '7,50', 'ZANI']","[0, 0, 0, 0, 0, 0]"
TENTO-AZUL SERRADO EM CAIBRO CURTO,"['TENTO-AZUL', 'SERRADO', 'EM', 'CAIBRO', 'CURTO']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA CAIBRO LIBRA,"['MADEIRA', 'SERRADA', 'CAIBRO', 'LIBRA']","[0, 0, 0, 0]"
GUAJARA MAD. SERRADA EM TABUAS,"['GUAJARA', 'MAD.', 'SERRADA', 'EM', 'TABUAS']","[0, 0, 0, 0, 0]"
"FRECHAL ANGELIM 5X4 CM 6,00MT","['FRECHAL', 'ANGELIM', '5X4', 'CM', '6,00MT']","[0, 0, 0, 0, 0]"
MADEIRA TIPO SARRAFOS ESP.MACARANDUBA MANILKARA HUBERI (DUCKE) CHEVALIER,"['MADEIRA', 'TIPO', 'SARRAFOS', 'ESP.MACARANDUBA', 'MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER']","[0, 0, 0, 0, 0, 0, 0, 0]"
FRECHAL ANGELIN 5X4 7.5 MT,"['FRECHAL', 'ANGELIN', '5X4', '7.5', 'MT']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TABUAS DA ESSENCIA MARUPA(SIMAROUBA AMARA AUBL.),"['MADEIRA', 'SERRADA', 'EM', 'TABUAS', 'DA', 'ESSENCIA', 'MARUPA(SIMAROUBA', 'AMARA', 'AUBL.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
TELHA COLONIAL COR MARFIM 3.28X0.86,"['TELHA', 'COLONIAL', 'COR', 'MARFIM', '3.28X0.86']","[0, 0, 0, 0, 0]"
PORTA LAMINADA JATOBA 90X210 KDK,"['PORTA', 'LAMINADA', 'JATOBA', '90X210', 'KDK']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TABUA,"['MADEIRA', 'SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0]"
"JANELAO 1,50X80 TIMBORANA","['JANELAO', '1,50X80', 'TIMBORANA']","[0, 0, 0]"
MAD.SERRADA MISTA VIGA 5CMX13CMX5M,"['MAD.SERRADA', 'MISTA', 'VIGA', '5CMX13CMX5M']","[0, 0, 0, 0]"
PORTA LAM SEMI OCA 70X2.10 SULINA,"['PORTA', 'LAM', 'SEMI', 'OCA', '70X2.10', 'SULINA']","[0, 0, 0, 0, 0, 0]"
"LINHA ANGELIM VERMELHO 5X11 6,5M","['LINHA', 'ANGELIM', 'VERMELHO', '5X11', '6,5M']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA EM PRANCHA JATOBA,"['MADEIRA', 'SERRADA', 'EM', 'PRANCHA', 'JATOBA']","[0, 0, 0, 0, 0]"
JATOBA EM ALIZAR,"['JATOBA', 'EM', 'ALIZAR']","[0, 0, 0]"
"LINHA MACARANDUBA 5X29 6,0MT","['LINHA', 'MACARANDUBA', '5X29', '6,0MT']","[0, 0, 0, 0]"
"RIPA MIXTA 4,0MT-MADEIRA","['RIPA', 'MIXTA', '4,0MT-MADEIRA']","[0, 0, 0]"
BOBINA DE ALUMINIO P/CALHA 80CM,"['BOBINA', 'DE', 'ALUMINIO', 'P/CALHA', '80CM']","[0, 0, 0, 0, 0]"
MADEIRA MISTA,"['MADEIRA', 'MISTA']","[0, 0]"
TABUA PINUS 2 5X30CM C/ 3M,"['TABUA', 'PINUS', '2', '5X30CM', 'C/', '3M']","[0, 0, 0, 0, 0, 0]"
"FRECHAL MISTO SAO 1 FRECHAM DE 8,0MT","['FRECHAL', 'MISTO', 'SAO', '1', 'FRECHAM', 'DE', '8,0MT']","[0, 0, 0, 0, 0, 0, 0]"
GUAJARA - RIPAS,"['GUAJARA', '-', 'RIPAS']","[0, 0, 0]"
TRELIC MD 70X90C TEC,"['TRELIC', 'MD', '70X90C', 'TEC']","[0, 0, 0, 0]"
MADEIRA BENEFICIADA EM PORTAL DE MAPARAJUBA,"['MADEIRA', 'BENEFICIADA', 'EM', 'PORTAL', 'DE', 'MAPARAJUBA']","[0, 0, 0, 0, 0, 0]"
"CAIBRO DE EUCALIPTO 05 X 07 X 5,40M","['CAIBRO', 'DE', 'EUCALIPTO', '05', 'X', '07', 'X', '5,40M']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA MACARANDUBA (MANILKARA H. (DUCKE) CHEVALIER) RIPAS,"['MADEIRA', 'SERRADA', 'MACARANDUBA', '(MANILKARA', 'H.', '(DUCKE)', 'CHEVALIER)', 'RIPAS']","[0, 0, 0, 0, 0, 0, 0, 0]"
BARROTE SERRADO SARRAFOS 3 X 5,"['BARROTE', 'SERRADO', 'SARRAFOS', '3', 'X', '5']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA MAA ARANDUBA (RIPA),"['MADEIRA', 'SERRADA', 'MAA', 'ARANDUBA', '(RIPA)']","[0, 0, 0, 0, 0]"
CAIBRO 5MT,"['CAIBRO', '5MT']","[0, 0]"
PORTA DE ALMOF. HORIZ. 2.10 X 74 PINUS CXD,"['PORTA', 'DE', 'ALMOF.', 'HORIZ.', '2.10', 'X', '74', 'PINUS', 'CXD']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"LINHA DE ANGELIM 5X9 C/ 3,5 MT","['LINHA', 'DE', 'ANGELIM', '5X9', 'C/', '3,5', 'MT']","[0, 0, 0, 0, 0, 0, 0]"
BARROTE - SERRADO EM VIGA,"['BARROTE', '-', 'SERRADO', 'EM', 'VIGA']","[0, 0, 0, 0, 0]"
LINHA P/PEDREIRO 100MT 1 FIO LISO LARANJ,"['LINHA', 'P/PEDREIRO', '100MT', '1', 'FIO', 'LISO', 'LARANJ']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA MIX 3X8 6,0MT","['LINHA', 'MIX', '3X8', '6,0MT']","[0, 0, 0, 0]"
"LINHA MACARANDUBA 5X13 6,5 MT","['LINHA', 'MACARANDUBA', '5X13', '6,5', 'MT']","[0, 0, 0, 0, 0]"
"TABUA 13CM X 2,5CM ANGELIN VERMELHO","['TABUA', '13CM', 'X', '2,5CM', 'ANGELIN', 'VERMELHO']","[0, 0, 0, 0, 0, 0]"
"POSTE DE EUCALIPTO TRATADA 4,0 X 08 A 10 - EUCALPITO","['POSTE', 'DE', 'EUCALIPTO', 'TRATADA', '4,0', 'X', '08', 'A', '10', '-', 'EUCALPITO']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM TÁBUAS NA ESPECIE MUIRACATIARA,"['MADEIRA', 'SERRADA', 'EM', 'TÁBUAS', 'NA', 'ESPECIE', 'MUIRACATIARA']","[0, 0, 0, 0, 0, 0, 0]"
ANDIROBA SERRADO EM TABUA,"['ANDIROBA', 'SERRADO', 'EM', 'TABUA']","[0, 0, 0, 0]"
"RIPAO JATOBA SERRADO EM SARRAFO 5,00CM X5 CM W2","['RIPAO', 'JATOBA', 'SERRADO', 'EM', 'SARRAFO', '5,00CM', 'X5', 'CM', 'W2']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM BLOCOS NA ESPÉCIE ANGELIM-VERMELHO,"['MADEIRA', 'SERRADA', 'EM', 'BLOCOS', 'NA', 'ESPÉCIE', 'ANGELIM-VERMELHO']","[0, 0, 0, 0, 0, 0, 0]"
AMAPA AMARGOSO SER - TABUAS,"['AMAPA', 'AMARGOSO', 'SER', '-', 'TABUAS']","[0, 0, 0, 0, 0]"
TIRIBA - MADEIRA SERRADA EM VIGOTAS,"['TIRIBA', '-', 'MADEIRA', 'SERRADA', 'EM', 'VIGOTAS']","[0, 0, 0, 0, 0, 0]"
"SAPUCAIA SER - BLOCO, QUADRADO OU FILE","['SAPUCAIA', 'SER', '-', 'BLOCO,', 'QUADRADO', 'OU', 'FILE']","[0, 0, 0, 0, 0, 0, 0]"
UCUUBA SERRADA EM SARRAFOS,"['UCUUBA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0]"
CAIBRO MISTO DE 6.50,"['CAIBRO', 'MISTO', 'DE', '6.50']","[0, 0, 0, 0]"
RIPA GUAJARA VERM 1.2X5CM,"['RIPA', 'GUAJARA', 'VERM', '1.2X5CM']","[0, 0, 0, 0]"
SARRAFOS CASCA SECA,"['SARRAFOS', 'CASCA', 'SECA']","[0, 0, 0]"
CUPIUBA-GOUPIA GLABRA AUBL.-SERRADA EM RIPA,"['CUPIUBA-GOUPIA', 'GLABRA', 'AUBL.-SERRADA', 'EM', 'RIPA']","[0, 0, 0, 0, 0]"
"LINHA ANGELIM 5X13 4,5 MT","['LINHA', 'ANGELIM', '5X13', '4,5', 'MT']","[0, 0, 0, 0, 0]"
CARRIOLA 350 SEXTAVADO PEQUENO 30X12X12,"['CARRIOLA', '350', 'SEXTAVADO', 'PEQUENO', '30X12X12']","[0, 0, 0, 0, 0]"
PORTA LAMBRI DE ANDIROBA 2.10 X 80 CXD,"['PORTA', 'LAMBRI', 'DE', 'ANDIROBA', '2.10', 'X', '80', 'CXD']","[0, 0, 0, 0, 0, 0, 0, 0]"
LINHA 3X6 MADEIRA ANGELIM MT (5X13),"['LINHA', '3X6', 'MADEIRA', 'ANGELIM', 'MT', '(5X13)']","[0, 0, 0, 0, 0, 0]"
JATOBA MADEIRA SERRADA,"['JATOBA', 'MADEIRA', 'SERRADA']","[0, 0, 0]"
TIMBORANA SERRADA EM TABUA( CLASS 27),"['TIMBORANA', 'SERRADA', 'EM', 'TABUA(', 'CLASS', '27)']","[0, 0, 0, 0, 0, 0]"
JARAI MADEIRA SERRADA TABUA,"['JARAI', 'MADEIRA', 'SERRADA', 'TABUA']","[0, 0, 0, 0]"
"CX PORTA 0,80 X 12,5 X 2,10","['CX', 'PORTA', '0,80', 'X', '12,5', 'X', '2,10']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGA TAUARI,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'TAUARI']","[0, 0, 0, 0, 0]"
"LINHA 5X11 DE ANGELIM C/ 6,5M","['LINHA', '5X11', 'DE', 'ANGELIM', 'C/', '6,5M']","[0, 0, 0, 0, 0, 0]"
ARARACANGA SERRADO EM VIGOTA,"['ARARACANGA', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0]"
MADEIRA SERRADA TIPO (PRANCHA) DA ESPÉCIE CUPIUBA,"['MADEIRA', 'SERRADA', 'TIPO', '(PRANCHA)', 'DA', 'ESPÉCIE', 'CUPIUBA']","[0, 0, 0, 0, 0, 0, 0]"
BOLSA DIVAS MADEMOISELLE - POLIESTER / TERM MARSAL,"['BOLSA', 'DIVAS', 'MADEMOISELLE', '-', 'POLIESTER', '/', 'TERM', 'MARSAL']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM PRANCHA DA ESSENCIA - JARANA,"['MADEIRA', 'SERRADA', 'EM', 'PRANCHA', 'DA', 'ESSENCIA', '-', 'JARANA']","[0, 0, 0, 0, 0, 0, 0, 0]"
IPEUBA SERRADAPRANCHA,"['IPEUBA', 'SERRADAPRANCHA']","[0, 0]"
"TAXI-PRETO SERRADA CAIBRO - 5,0X5,0 CM","['TAXI-PRETO', 'SERRADA', 'CAIBRO', '-', '5,0X5,0', 'CM']","[0, 0, 0, 0, 0, 0]"
PORTA LAMINADA 2.10 X 1.04,"['PORTA', 'LAMINADA', '2.10', 'X', '1.04']","[0, 0, 0, 0, 0]"
PRODUTO ACABADO - PORTAS DE CALHA - DA ESPECIE UXIRANA,"['PRODUTO', 'ACABADO', '-', 'PORTAS', 'DE', 'CALHA', '-', 'DA', 'ESPECIE', 'UXIRANA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
SARRAFO CUPIUBA,"['SARRAFO', 'CUPIUBA']","[0, 0]"
"GARAPEIRA 3,50 X 9,00 CAIBRO 1,50 MT","['GARAPEIRA', '3,50', 'X', '9,00', 'CAIBRO', '1,50', 'MT']","[0, 0, 0, 0, 0, 0, 0]"
LINHA 5X09 ANGELIM 7.00MT,"['LINHA', '5X09', 'ANGELIM', '7.00MT']","[0, 0, 0, 0]"
"MADEIRA SERRADA DO TIPO RIPA ESPECIE PEQUIA(1,2CMX5CM)","['MADEIRA', 'SERRADA', 'DO', 'TIPO', 'RIPA', 'ESPECIE', 'PEQUIA(1,2CMX5CM)']","[0, 0, 0, 0, 0, 0, 0]"
"CAIBRO ANGELIM 3X5 7,0MTS","['CAIBRO', 'ANGELIM', '3X5', '7,0MTS']","[0, 0, 0, 0]"
"ALIZAR MACARANDUBA 5 X 1CM C/ 5,40MT","['ALIZAR', 'MACARANDUBA', '5', 'X', '1CM', 'C/', '5,40MT']","[0, 0, 0, 0, 0, 0, 0]"
MELANCIEIRA SERRADA EM PRANCHAS,"['MELANCIEIRA', 'SERRADA', 'EM', 'PRANCHAS']","[0, 0, 0, 0]"
MADEIRA SERRADA (PRANCHA) DA ESPÉCIE - JATOBÁ,"['MADEIRA', 'SERRADA', '(PRANCHA)', 'DA', 'ESPÉCIE', '-', 'JATOBÁ']","[0, 0, 0, 0, 0, 0, 0]"
"PIQUIA 5,0 X 0,30 X 0,04","['PIQUIA', '5,0', 'X', '0,30', 'X', '0,04']","[0, 0, 0, 0, 0, 0]"
CAIBRO ANGELIM 5X3 CM,"['CAIBRO', 'ANGELIM', '5X3', 'CM']","[0, 0, 0, 0]"
TIMBORANA-PIPTADENIA SUAVEOLENS MIQ.-SERRADA EM SARRAFO,"['TIMBORANA-PIPTADENIA', 'SUAVEOLENS', 'MIQ.-SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0, 0]"
"CAIBRO GUAJARA C/ 4,50 MTS UN 1","['CAIBRO', 'GUAJARA', 'C/', '4,50', 'MTS', 'UN', '1']","[0, 0, 0, 0, 0, 0, 0]"
"VIGA MISTA (6,0X12) CUPIUBA","['VIGA', 'MISTA', '(6,0X12)', 'CUPIUBA']","[0, 0, 0, 0]"
LOURO - TAMAQUARE - SERRADO EM VIGOTA,"['LOURO', '-', 'TAMAQUARE', '-', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0, 0, 0]"
TABUA PARA CHURRASCO N/6 ALVES,"['TABUA', 'PARA', 'CHURRASCO', 'N/6', 'ALVES']","[0, 0, 0, 0, 0]"
MAO FRANCESA 60CM MISTA,"['MAO', 'FRANCESA', '60CM', 'MISTA']","[0, 0, 0, 0]"
"POSTE DE EUCALIPTO TRATADA 4,0 X 06 A 08 - EUCALPITO BARROTE","['POSTE', 'DE', 'EUCALIPTO', 'TRATADA', '4,0', 'X', '06', 'A', '08', '-', 'EUCALPITO', 'BARROTE']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
APARADOR EM MADEIRA,"['APARADOR', 'EM', 'MADEIRA']","[0, 0, 0]"
MADEIRA SERRADA EM TABUA DA ESSENCIA - GUARUBA-CEDRO,"['MADEIRA', 'SERRADA', 'EM', 'TABUA', 'DA', 'ESSENCIA', '-', 'GUARUBA-CEDRO']","[0, 0, 0, 0, 0, 0, 0, 0]"
ANDIROBA SERRADA EM SARRAFO,"['ANDIROBA', 'SERRADA', 'EM', 'SARRAFO']","[0, 0, 0, 0]"
MADEIRA DE SUBPRODUTOS FLORESTAL PARA O USO FINAL TIPO PORTAL (ADUELAS) DA ESPECIE MAÇARANDUBA,"['MADEIRA', 'DE', 'SUBPRODUTOS', 'FLORESTAL', 'PARA', 'O', 'USO', 'FINAL', 'TIPO', 'PORTAL', '(ADUELAS)', 'DA', 'ESPECIE', 'MAÇARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
PECAS MASSA. 2.10X10.2.5,"['PECAS', 'MASSA.', '2.10X10.2.5']","[0, 0, 0]"
LINHA MACARANDUBA 6X15CM,"['LINHA', 'MACARANDUBA', '6X15CM']","[0, 0, 0]"
"PRANCHA - ANGELIM-VERMELHO (DINIZIA EXCELSA) BRUTO, NORMAL, FAS, AD, MADEIRA SERRADA","['PRANCHA', '-', 'ANGELIM-VERMELHO', '(DINIZIA', 'EXCELSA)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', 'MADEIRA', 'SERRADA']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"SERRADO TIPO VIGA 13CM X 5CM X 4,5M","['SERRADO', 'TIPO', 'VIGA', '13CM', 'X', '5CM', 'X', '4,5M']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA (TÁBUA) HYMENAEA COURBARIL L. - JATOBÁ,"['MADEIRA', 'SERRADA', '(TÁBUA)', 'HYMENAEA', 'COURBARIL', 'L.', '-', 'JATOBÁ']","[0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA PRANCHAO DESD. TIMB./ PIP. SUAV.,"['MADEIRA', 'SERRADA', 'PRANCHAO', 'DESD.', 'TIMB./', 'PIP.', 'SUAV.']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA (VIGOTA) DA ESPECIE TAUARI-VERMELHO (CARINIANA MICRANTHA DUCKE),"['MADEIRA', 'SERRADA', '(VIGOTA)', 'DA', 'ESPECIE', 'TAUARI-VERMELHO', '(CARINIANA', 'MICRANTHA', 'DUCKE)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"3727 - MADEIRA DE EUCALIPTO 0,25X0,25X6,00M RELORESTAMENTO","['3727', '-', 'MADEIRA', 'DE', 'EUCALIPTO', '0,25X0,25X6,00M', 'RELORESTAMENTO']","[0, 0, 0, 0, 0, 0, 0]"
CAIBRO MISTO 5X3.5,"['CAIBRO', 'MISTO', '5X3.5']","[0, 0, 0]"
"MADEIRA MISTA 06X06 2,5 MTS","['MADEIRA', 'MISTA', '06X06', '2,5', 'MTS']","[0, 0, 0, 0, 0]"
TABUA PEQUIA 2 2 X 20CM 5 5M,"['TABUA', 'PEQUIA', '2', '2', 'X', '20CM', '5', '5M']","[0, 0, 0, 0, 0, 0, 0, 0]"
PUXA SACO 141 ARTE FRANCESA,"['PUXA', 'SACO', '141', 'ARTE', 'FRANCESA']","[0, 0, 0, 0, 0]"
CACHEPO VAZADO 180X180MM EUCALIPTO STAIN JATOBA NA,"['CACHEPO', 'VAZADO', '180X180MM', 'EUCALIPTO', 'STAIN', 'JATOBA', 'NA']","[0, 0, 0, 0, 0, 0, 0]"
"LINHAS DE 6,5 METROS DE 12C","['LINHAS', 'DE', '6,5', 'METROS', 'DE', '12C']","[0, 0, 0, 0, 0, 0]"
"CAIBRO ANGELIM VERMELHO 3X5CM 5,00M","['CAIBRO', 'ANGELIM', 'VERMELHO', '3X5CM', '5,00M']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA LOURO-VERMELHO EM TABUA,"['MADEIRA', 'SERRADA', 'LOURO-VERMELHO', 'EM', 'TABUA']","[0, 0, 0, 0, 0]"
ABIURANA MADEIRA SERRADA EM VIGA,"['ABIURANA', 'MADEIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0]"
VIGOTA MACARANDUBA 5X10X1,"['VIGOTA', 'MACARANDUBA', '5X10X1']","[0, 0, 0]"
"TABUA PINUS 13 X 2 CM C/ 3,00","['TABUA', 'PINUS', '13', 'X', '2', 'CM', 'C/', '3,00']","[0, 0, 0, 0, 0, 0, 0, 0]"
"MADEIRA SERRADA EM RIPA (MISTA) 1,2X5","['MADEIRA', 'SERRADA', 'EM', 'RIPA', '(MISTA)', '1,2X5']","[0, 0, 0, 0, 0, 0]"
"LINHA 5,5 X 10 CM 3X4","['LINHA', '5,5', 'X', '10', 'CM', '3X4']","[0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA MACARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALIER) TIPO SARRAFOS,"['MADEIRA', 'SERRADA', 'MACARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER)', 'TIPO', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
ANANI DA TERRA FIRME SERRADO EM VIGA,"['ANANI', 'DA', 'TERRA', 'FIRME', 'SERRADO', 'EM', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]"
COCO-PAU MADEIRA SERRADA EM VIGAS,"['COCO-PAU', 'MADEIRA', 'SERRADA', 'EM', 'VIGAS']","[0, 0, 0, 0, 0]"
"CAIBRO 6,0","['CAIBRO', '6,0']","[0, 0]"
SUCUPIRA SERRADAPRANCHA,"['SUCUPIRA', 'SERRADAPRANCHA']","[0, 0]"
ANGELIM AMARGOSO SERRADO EM TABUAS,"['ANGELIM', 'AMARGOSO', 'SERRADO', 'EM', 'TABUAS']","[0, 0, 0, 0, 0]"
"LINHA MIX 3X4 4,5MT MADEIRA","['LINHA', 'MIX', '3X4', '4,5MT', 'MADEIRA']","[0, 0, 0, 0, 0]"
MADEIRA BENEFICIADA PRODUTO ACABADO LAMBRIL DA ESPECIE DE JATOBA,"['MADEIRA', 'BENEFICIADA', 'PRODUTO', 'ACABADO', 'LAMBRIL', 'DA', 'ESPECIE', 'DE', 'JATOBA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
"GARAPEIRA 3,50 X 9,00 CAIBRO 3,00 MT","['GARAPEIRA', '3,50', 'X', '9,00', 'CAIBRO', '3,00', 'MT']","[0, 0, 0, 0, 0, 0, 0]"
"LINHA ANGELIM VERMELHO 6X15CM 3,00M","['LINHA', 'ANGELIM', 'VERMELHO', '6X15CM', '3,00M']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA NA ESPECIE MUIRACATIARA - TABUAS,"['MADEIRA', 'SERRADA', 'NA', 'ESPECIE', 'MUIRACATIARA', '-', 'TABUAS']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA DA ESPECIE POPULAR CEDRORANA EM RIPA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'POPULAR', 'CEDRORANA', 'EM', 'RIPA']","[0, 0, 0, 0, 0, 0, 0, 0]"
ANDIROBA SERRADA EM CAIBRO,"['ANDIROBA', 'SERRADA', 'EM', 'CAIBRO']","[0, 0, 0, 0]"
TABUA DE PINUS 3MX25CM,"['TABUA', 'DE', 'PINUS', '3MX25CM']","[0, 0, 0, 0]"
LINHA 5X11 MISTA 7.0MT,"['LINHA', '5X11', 'MISTA', '7.0MT']","[0, 0, 0, 0]"
MADEIRA JATOBA SERRADA EM PRANCHA,"['MADEIRA', 'JATOBA', 'SERRADA', 'EM', 'PRANCHA']","[0, 0, 0, 0, 0]"
26 - BREU MADEIRA SERRADA EM CAIBRO,"['26', '-', 'BREU', 'MADEIRA', 'SERRADA', 'EM', 'CAIBRO']","[0, 0, 0, 0, 0, 0, 0]"
LINHA ANG. 5X11 (MT),"['LINHA', 'ANG.', '5X11', '(MT)']","[0, 0, 0, 0]"
ITAUBA SERRADO EM VIGOTA,"['ITAUBA', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0]"
S2S (RIPAS)  CUMARU,"['S2S', '(RIPAS)', 'CUMARU']","[0, 0, 0]"
MADEIRA DA ESPECIE MAPARAJUBA SERRADA EM SARRAFOS,"['MADEIRA', 'DA', 'ESPECIE', 'MAPARAJUBA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0, 0, 0, 0]"
JATOBA-HYMENAEA COURBARIL L.-SERRADA EM TABUA,"['JATOBA-HYMENAEA', 'COURBARIL', 'L.-SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA SARRAFO MANILKARA HUBERI,"['MADEIRA', 'SERRADA', 'SARRAFO', 'MANILKARA', 'HUBERI']","[0, 0, 0, 0, 0]"
MADEIRA SERRADA VIGA DA ESPECIE GUAJARA - BOLACHA,"['MADEIRA', 'SERRADA', 'VIGA', 'DA', 'ESPECIE', 'GUAJARA', '-', 'BOLACHA']","[0, 0, 0, 0, 0, 0, 0, 0]"
SARRAFO / MANILKARA HUBERI - MACARANDUBA,"['SARRAFO', '/', 'MANILKARA', 'HUBERI', '-', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0]"
SARRAFO 2 5X7 5CM EM PINUS MISTA OU BRUTA,"['SARRAFO', '2', '5X7', '5CM', 'EM', 'PINUS', 'MISTA', 'OU', 'BRUTA']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM VIGAS NA ESPECIE GUAJARÁ,"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'NA', 'ESPECIE', 'GUAJARÁ']","[0, 0, 0, 0, 0, 0, 0]"
MADEIRA ANGELIN DIVERSAS BITOLA,"['MADEIRA', 'ANGELIN', 'DIVERSAS', 'BITOLA']","[0, 0, 0, 0]"
MADEIRA ANGELIM VERMELHO INDUSTRIALIZADA DE RESIDUO  ( CAIBRINHO ),"['MADEIRA', 'ANGELIM', 'VERMELHO', 'INDUSTRIALIZADA', 'DE', 'RESIDUO', '(', 'CAIBRINHO', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
MADEIRA SERRADA EM PRANCHA - CAUCHO,"['MADEIRA', 'SERRADA', 'EM', 'PRANCHA', '-', 'CAUCHO']","[0, 0, 0, 0, 0, 0]"
MUIRACATIARA MADEIRA SERRADA PRANCHAO DESDOBRADO,"['MUIRACATIARA', 'MADEIRA', 'SERRADA', 'PRANCHAO', 'DESDOBRADO']","[0, 0, 0, 0, 0]"
ANDIROBA(CARAPA GUIANENSIS),"['ANDIROBA(CARAPA', 'GUIANENSIS)']","[0, 0]"
"LINHA ANGELIM 5X09 5,50MT","['LINHA', 'ANGELIM', '5X09', '5,50MT']","[0, 0, 0, 0]"
CAIBRO MASSARANDUBA 1.0 METROS,"['CAIBRO', 'MASSARANDUBA', '1.0', 'METROS']","[0, 0, 0, 0]"
CCHEOT MD VZDO 18X47C TEC,"['CCHEOT', 'MD', 'VZDO', '18X47C', 'TEC']","[0, 0, 0, 0, 0]"
"CAIBRO ANGELIM 5,5MT","['CAIBRO', 'ANGELIM', '5,5MT']","[0, 0, 0]"
MADEIRA SERRADA DA ESPECIE MANDIOQUEIRO TIPO VIGA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'MANDIOQUEIRO', 'TIPO', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]"
CEDROARANA SERRADO EM RIPA,"['CEDROARANA', 'SERRADO', 'EM', 'RIPA']","[0, 0, 0, 0]"
