DC_PRODUTO,TOKENS,TAGS,text
"SERRADO TIPO SARRAFO 3CMX5CMX4,5M DUCKE","['SERRADO', 'TIPO', 'SARRAFO', '3CMX5CMX4,5M', 'DUCKE']","[0, 0, 0, 0, 0]","serrado tipo sarrafo 3cmx5cmx4,5m ducke"
TIMBORANA MAD. SERRADA EM TABUAS,"['TIMBORANA', 'MAD.', 'SERRADA', 'EM', 'TABUAS']","[0, 0, 0, 0, 0]",timborana mad. serrada em tabuas
CAIBRO GUAJARA1METRO,"['CAIBRO', 'GUAJARA1METRO']","[0, 0]",caibro guajara1metro
MADEIRA SERRADA EM RIPAS DA ESSENCIA MAÇARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALIER ),"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESSENCIA', 'MAÇARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em ripas da essencia macaranduba (manilkara huberi (ducke) chevalier )
TATAJUBA SERRADA EM SARRAFOS,"['TATAJUBA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0]",tatajuba serrada em sarrafos
JANELA TABICAO AND 1.00 X 1.80 CORRER,"['JANELA', 'TABICAO', 'AND', '1.00', 'X', '1.80', 'CORRER']","[0, 0, 0, 0, 0, 0, 0]",janela tabicao and 1.00 x 1.80 correr
ANGELIM-VERMELHO SERRADO EM SARRAFO (CAIBRINHO),"['ANGELIM-VERMELHO', 'SERRADO', 'EM', 'SARRAFO', '(CAIBRINHO)']","[0, 0, 0, 0, 0]",angelim-vermelho serrado em sarrafo (caibrinho)
S2S (SARRAFOS) ANGELIM VERMELHO,"['S2S', '(SARRAFOS)', 'ANGELIM', 'VERMELHO']","[0, 0, 0, 0]",s2s (sarrafos) angelim vermelho
MADEIRA SERRADA EM VIGAS DA ESSENCIA BREU (PROTIUM BRASILIENSE (SPRENG.) ENGL.),"['MADEIRA', 'SERRADA', 'EM', 'VIGAS', 'DA', 'ESSENCIA', 'BREU', '(PROTIUM', 'BRASILIENSE', '(SPRENG.)', 'ENGL.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em vigas da essencia breu (protium brasiliense (spreng.) engl.)
MACARANDUBA - SARRAFOS,"['MACARANDUBA', '-', 'SARRAFOS']","[0, 0, 0]",macaranduba - sarrafos
MADEIRA SERRADA DA ESPECIE SUCUPIRA EM RIPA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'SUCUPIRA', 'EM', 'RIPA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie sucupira em ripa
TABUA MISTA 2.5X30CM,"['TABUA', 'MISTA', '2.5X30CM']","[0, 0, 0]",tabua mista 2.5x30cm
TÁBUAS DE MAÇARANDUBA,"['TÁBUAS', 'DE', 'MAÇARANDUBA']","[0, 0, 0]",tabuas de macaranduba
MADEIRA SERRADA EM VIGA DA ESSÊNCIA - ANGELIM-COCO,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESSÊNCIA', '-', 'ANGELIM-COCO']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em viga da essencia - angelim-coco
MADEIRA SERRADA EM VIGA DA ESSÊNCIA - MACARANDUBA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESSÊNCIA', '-', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em viga da essencia - macaranduba
MADEIRA SERRADA EM VIGA DA ESSÊNCIA - TANIBUCA,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'DA', 'ESSÊNCIA', '-', 'TANIBUCA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em viga da essencia - tanibuca
TABUAS ESP MIRINDIBA LAFOENSIA GLYPTOCARPA KOEHNE,"['TABUAS', 'ESP', 'MIRINDIBA', 'LAFOENSIA', 'GLYPTOCARPA', 'KOEHNE']","[0, 0, 0, 0, 0, 0]",tabuas esp mirindiba lafoensia glyptocarpa koehne
CUPIUBA SERRADO EM SARRAFO,"['CUPIUBA', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0]",cupiuba serrado em sarrafo
PRODUTO ACABADO - PORTAIS - DA ESPECIE CUPIUBA,"['PRODUTO', 'ACABADO', '-', 'PORTAIS', '-', 'DA', 'ESPECIE', 'CUPIUBA']","[0, 0, 0, 0, 0, 0, 0, 0]",produto acabado - portais - da especie cupiuba
"LINHA MISTA 5X13 5,0 MT","['LINHA', 'MISTA', '5X13', '5,0', 'MT']","[0, 0, 0, 0, 0]","linha mista 5x13 5,0 mt"
CASCA DE PINO 700G,"['CASCA', 'DE', 'PINO', '700G']","[0, 0, 0, 0]",casca de pino 700g
JATOBA MADEIRA SERRADA VIGA,"['JATOBA', 'MADEIRA', 'SERRADA', 'VIGA']","[0, 0, 0, 0]",jatoba madeira serrada viga
MADEIRA IPE SERRADA SARRAFOS,"['MADEIRA', 'IPE', 'SERRADA', 'SARRAFOS']","[0, 0, 0, 0]",madeira ipe serrada sarrafos
"CAIBRO C/ 2,50 MTS","['CAIBRO', 'C/', '2,50', 'MTS']","[0, 0, 0, 0]","caibro c/ 2,50 mts"
TANIBUCA MADEIRA SERRADA EM VIGA,"['TANIBUCA', 'MADEIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0]",tanibuca madeira serrada em viga
MADEIRA BENEFICIADA DA ESPECIE POPULAR LOURO EM PORTAIS/ADUELAS,"['MADEIRA', 'BENEFICIADA', 'DA', 'ESPECIE', 'POPULAR', 'LOURO', 'EM', 'PORTAIS/ADUELAS']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira beneficiada da especie popular louro em portais/aduelas
"CAIXA DE PORTA MISTA 2,10MT","['CAIXA', 'DE', 'PORTA', 'MISTA', '2,10MT']","[0, 0, 0, 0, 0]","caixa de porta mista 2,10mt"
MADEIRA SERRADA EM SARRAFOS NA ESPECIE MUIRACATIARA,"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'NA', 'ESPECIE', 'MUIRACATIARA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada em sarrafos na especie muiracatiara
MACARANDUBA SERRADA (VIGA) - MANILKARA HUBERI,"['MACARANDUBA', 'SERRADA', '(VIGA)', '-', 'MANILKARA', 'HUBERI']","[0, 0, 0, 0, 0, 0]",macaranduba serrada (viga) - manilkara huberi
MADEIRA SERRADA DA ESPECIE FAVA-BRANCA TIPO PRANCHA,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'FAVA-BRANCA', 'TIPO', 'PRANCHA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie fava-branca tipo prancha
MADEIRA DA ESPECIE JATOBA SERRADA EM TABUAS,"['MADEIRA', 'DA', 'ESPECIE', 'JATOBA', 'SERRADA', 'EM', 'TABUAS']","[0, 0, 0, 0, 0, 0, 0]",madeira da especie jatoba serrada em tabuas
MAPARAJUBA MADEIRA SERRADA EM RIPAS,"['MAPARAJUBA', 'MADEIRA', 'SERRADA', 'EM', 'RIPAS']","[0, 0, 0, 0, 0]",maparajuba madeira serrada em ripas
MANGUEIRA P/ NIVEL 1/4 X 1.0MM,"['MANGUEIRA', 'P/', 'NIVEL', '1/4', 'X', '1.0MM']","[0, 0, 0, 0, 0, 0]",mangueira p/ nivel 1/4 x 1.0mm
JATOBA SERRADA EM PRANCHAO ( DESDOBRADO),"['JATOBA', 'SERRADA', 'EM', 'PRANCHAO', '(', 'DESDOBRADO)']","[0, 0, 0, 0, 0, 0]",jatoba serrada em pranchao ( desdobrado)
CHRYSOPHYLLUM VENEZUELANENSE (PIERRE) T.D.PENN. - GUAJARA -  MADEIRA SERRADA - CAIBRO,"['CHRYSOPHYLLUM', 'VENEZUELANENSE', '(PIERRE)', 'T.D.PENN.', '-', 'GUAJARA', '-', 'MADEIRA', 'SERRADA', '-', 'CAIBRO']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",chrysophyllum venezuelanense (pierre) t.d.penn. - guajara -  madeira serrada - caibro
ESPETOS P/CHURRASCO BAMBU FIAT LUX C/100UN,"['ESPETOS', 'P/CHURRASCO', 'BAMBU', 'FIAT', 'LUX', 'C/100UN']","[0, 0, 0, 0, 0, 0]",espetos p/churrasco bambu fiat lux c/100un
MADEIRA SERRADA UXI (RIPA),"['MADEIRA', 'SERRADA', 'UXI', '(RIPA)']","[0, 0, 0, 0]",madeira serrada uxi (ripa)
ITAUBA SERRADO EM CAIBRO,"['ITAUBA', 'SERRADO', 'EM', 'CAIBRO']","[0, 0, 0, 0]",itauba serrado em caibro
MAD.SERRADA ESP.ANGELIM VERM.EM VIRGA,"['MAD.SERRADA', 'ESP.ANGELIM', 'VERM.EM', 'VIRGA']","[0, 0, 0, 0]",mad.serrada esp.angelim verm.em virga
MADEIRA DA ESPECIE VIROLA ( VIROLA SURINAMENSIS (ROL.) WARB.),"['MADEIRA', 'DA', 'ESPECIE', 'VIROLA', '(', 'VIROLA', 'SURINAMENSIS', '(ROL.)', 'WARB.)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira da especie virola ( virola surinamensis (rol.) warb.)
LOURO SERRADO CAIBRO CURTO,"['LOURO', 'SERRADO', 'CAIBRO', 'CURTO']","[0, 0, 0, 0]",louro serrado caibro curto
PORTAS PORDISI ( CEREJEIRA ) 210 X 060,"['PORTAS', 'PORDISI', '(', 'CEREJEIRA', ')', '210', 'X', '060']","[0, 0, 0, 0, 0, 0, 0, 0]",portas pordisi ( cerejeira ) 210 x 060
MADEIRA SERRADA EM SARRAFOS DA ESSENCIA BARROTE(TETRAGASTRIS PANAMENSIS (ENGL.)KUNTZE),"['MADEIRA', 'SERRADA', 'EM', 'SARRAFOS', 'DA', 'ESSENCIA', 'BARROTE(TETRAGASTRIS', 'PANAMENSIS', '(ENGL.)KUNTZE)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em sarrafos da essencia barrote(tetragastris panamensis (engl.)kuntze)
JOGO DE MESA RUSTICA ANGELIM PEDRA C/ 4 BANCOS,"['JOGO', 'DE', 'MESA', 'RUSTICA', 'ANGELIM', 'PEDRA', 'C/', '4', 'BANCOS']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",jogo de mesa rustica angelim pedra c/ 4 bancos
ANGELIM SERRADO SARRAFOS 3 X 5,"['ANGELIM', 'SERRADO', 'SARRAFOS', '3', 'X', '5']","[0, 0, 0, 0, 0, 0]",angelim serrado sarrafos 3 x 5
CAIBRO 3X5 3.00MT DE MASS,"['CAIBRO', '3X5', '3.00MT', 'DE', 'MASS']","[0, 0, 0, 0, 0]",caibro 3x5 3.00mt de mass
GUAJARA BOLACHA SERRADA EM CAIBRO CURTO,"['GUAJARA', 'BOLACHA', 'SERRADA', 'EM', 'CAIBRO', 'CURTO']","[0, 0, 0, 0, 0, 0]",guajara bolacha serrada em caibro curto
MANDIOQUEIRA SERRADA VIGA,"['MANDIOQUEIRA', 'SERRADA', 'VIGA']","[0, 0, 0]",mandioqueira serrada viga
BREU-SUCURUBA SERRADO EM VIGOTA,"['BREU-SUCURUBA', 'SERRADO', 'EM', 'VIGOTA']","[0, 0, 0, 0]",breu-sucuruba serrado em vigota
MADEIRA SERRADA VIGA CEDRO-MARINHEIRO,"['MADEIRA', 'SERRADA', 'VIGA', 'CEDRO-MARINHEIRO']","[0, 0, 0, 0]",madeira serrada viga cedro-marinheiro
IPE SERRADO EM VIGA,"['IPE', 'SERRADO', 'EM', 'VIGA']","[0, 0, 0, 0]",ipe serrado em viga
"CAIXA DE PORTA MISTA 0,80X2,10","['CAIXA', 'DE', 'PORTA', 'MISTA', '0,80X2,10']","[0, 0, 0, 0, 0]","caixa de porta mista 0,80x2,10"
MACARANDUBA-MANILKARA HUBERI (DUCKE) CHEVALIER- SERRADA EM VIGA,"['MACARANDUBA-MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER-', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0, 0, 0]",macaranduba-manilkara huberi (ducke) chevalier- serrada em viga
MADEIRA SERRADA TIPO (TÁBUA) DA ESPECIE - TIMBORANA,"['MADEIRA', 'SERRADA', 'TIPO', '(TÁBUA)', 'DA', 'ESPECIE', '-', 'TIMBORANA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada tipo (tabua) da especie - timborana
PORTA VENEZIANA 2.10X0.80,"['PORTA', 'VENEZIANA', '2.10X0.80']","[0, 0, 0]",porta veneziana 2.10x0.80
"LINHA ANGELIM 5X18 6,0 MT","['LINHA', 'ANGELIM', '5X18', '6,0', 'MT']","[0, 0, 0, 0, 0]","linha angelim 5x18 6,0 mt"
RIPAS MISTO,"['RIPAS', 'MISTO']","[0, 0]",ripas misto
"LINHA ANGELIM 5X11 6,0 MT","['LINHA', 'ANGELIM', '5X11', '6,0', 'MT']","[0, 0, 0, 0, 0]","linha angelim 5x11 6,0 mt"
"PRANCHAO - JATOBA (HYMENAEA COURBARIL) BRUTO, NORMAL, FAS, AD, .","['PRANCHAO', '-', 'JATOBA', '(HYMENAEA', 'COURBARIL)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","pranchao - jatoba (hymenaea courbaril) bruto, normal, fas, ad, ."
"TABUA DE PINUS 3,00X10CM C/3,0CM","['TABUA', 'DE', 'PINUS', '3,00X10CM', 'C/3,0CM']","[0, 0, 0, 0, 0]","tabua de pinus 3,00x10cm c/3,0cm"
CAIXA PORTA 60CM CUPIUB,"['CAIXA', 'PORTA', '60CM', 'CUPIUB']","[0, 0, 0, 0]",caixa porta 60cm cupiub
LINHA 5X13 ANGELIM 8.00MT,"['LINHA', '5X13', 'ANGELIM', '8.00MT']","[0, 0, 0, 0]",linha 5x13 angelim 8.00mt
MADEIRA S2S DA ESPECIE POPULAR PEQUIARANA EM TABUA,"['MADEIRA', 'S2S', 'DA', 'ESPECIE', 'POPULAR', 'PEQUIARANA', 'EM', 'TABUA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira s2s da especie popular pequiarana em tabua
"TABUA PEQUIA 3,0CM","['TABUA', 'PEQUIA', '3,0CM']","[0, 0, 0]","tabua pequia 3,0cm"
RIPA ANGELIM MT,"['RIPA', 'ANGELIM', 'MT']","[0, 0, 0]",ripa angelim mt
TABUA 3X21X1,"['TABUA', '3X21X1']","[0, 0]",tabua 3x21x1
"LINHA ANGELIM 5X11 6,5 MT","['LINHA', 'ANGELIM', '5X11', '6,5', 'MT']","[0, 0, 0, 0, 0]","linha angelim 5x11 6,5 mt"
PRODUTO ACABADO - PORTAS DE CALHA DA ESPECIE TAUARI,"['PRODUTO', 'ACABADO', '-', 'PORTAS', 'DE', 'CALHA', 'DA', 'ESPECIE', 'TAUARI']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",produto acabado - portas de calha da especie tauari
"JATOBA 35 - BLOCO, QUADRADO OU FILE","['JATOBA', '35', '-', 'BLOCO,', 'QUADRADO', 'OU', 'FILE']","[0, 0, 0, 0, 0, 0, 0]","jatoba 35 - bloco, quadrado ou file"
"PEQUIA SERRADA EM BLOCO, QUADRADO OU FILE","['PEQUIA', 'SERRADA', 'EM', 'BLOCO,', 'QUADRADO', 'OU', 'FILE']","[0, 0, 0, 0, 0, 0, 0]","pequia serrada em bloco, quadrado ou file"
"PORTAS/IPE CHAMPAGNE/VERNIZ.210.60.3,0","['PORTAS/IPE', 'CHAMPAGNE/VERNIZ.210.60.3,0']","[0, 0]","portas/ipe champagne/verniz.210.60.3,0"
"JATOBA 3,5","['JATOBA', '3,5']","[0, 0]","jatoba 3,5"
"MAO FRANCESA 0,40CM","['MAO', 'FRANCESA', '0,40CM']","[0, 0, 0]","mao francesa 0,40cm"
QUARUBATINGA MAD. SERRADA VIGAS,"['QUARUBATINGA', 'MAD.', 'SERRADA', 'VIGAS']","[0, 0, 0, 0]",quarubatinga mad. serrada vigas
"LINHA 5X28 CM ANGELIM C/ 5,5 MT","['LINHA', '5X28', 'CM', 'ANGELIM', 'C/', '5,5', 'MT']","[0, 0, 0, 0, 0, 0, 0]","linha 5x28 cm angelim c/ 5,5 mt"
ESTACA DE EUCALIPTO TRATADA 2.2 X 08 A 10,"['ESTACA', 'DE', 'EUCALIPTO', 'TRATADA', '2.2', 'X', '08', 'A', '10']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",estaca de eucalipto tratada 2.2 x 08 a 10
LINHA ANGELIM 5X11CM 6.00MTS,"['LINHA', 'ANGELIM', '5X11CM', '6.00MTS']","[0, 0, 0, 0]",linha angelim 5x11cm 6.00mts
SAPUCAIA SERRADA EM VIGOTAS,"['SAPUCAIA', 'SERRADA', 'EM', 'VIGOTAS']","[0, 0, 0, 0]",sapucaia serrada em vigotas
FAVEIRA SERRADO EM RIPAS,"['FAVEIRA', 'SERRADO', 'EM', 'RIPAS']","[0, 0, 0, 0]",faveira serrado em ripas
"LINHA MASSA 5,0X20 5,5MT","['LINHA', 'MASSA', '5,0X20', '5,5MT']","[0, 0, 0, 0]","linha massa 5,0x20 5,5mt"
MATAMATA-CI SERRADO CAIBRO CURTO (CAIBRINHO),"['MATAMATA-CI', 'SERRADO', 'CAIBRO', 'CURTO', '(CAIBRINHO)']","[0, 0, 0, 0, 0]",matamata-ci serrado caibro curto (caibrinho)
"JANELA JATOBA 0,80X1,50M(TABICAO)","['JANELA', 'JATOBA', '0,80X1,50M(TABICAO)']","[0, 0, 0]","janela jatoba 0,80x1,50m(tabicao)"
MADEIRA INDUSTRIALIZADA DE RESIDUO (RIPA) DA ESPECIE MAÇARANDUBA,"['MADEIRA', 'INDUSTRIALIZADA', 'DE', 'RESIDUO', '(RIPA)', 'DA', 'ESPECIE', 'MAÇARANDUBA']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira industrializada de residuo (ripa) da especie macaranduba
RÉGUA EM CUPIÚBA M,"['RÉGUA', 'EM', 'CUPIÚBA', 'M']","[0, 0, 0, 0]",regua em cupiuba m
MADEIRA DA ESPECIE PEQUIA SERRADA EM RIPA,"['MADEIRA', 'DA', 'ESPECIE', 'PEQUIA', 'SERRADA', 'EM', 'RIPA']","[0, 0, 0, 0, 0, 0, 0]",madeira da especie pequia serrada em ripa
JARANA SERRADO EM CAIBRO,"['JARANA', 'SERRADO', 'EM', 'CAIBRO']","[0, 0, 0, 0]",jarana serrado em caibro
TABUA 14X2CM MISTA,"['TABUA', '14X2CM', 'MISTA']","[0, 0, 0]",tabua 14x2cm mista
TABUA DE PINNUS APLAINADA 3M X 15CM X 20CM,"['TABUA', 'DE', 'PINNUS', 'APLAINADA', '3M', 'X', '15CM', 'X', '20CM']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",tabua de pinnus aplainada 3m x 15cm x 20cm
"VIGA - CUPIUBA (GOUPIA GLABRA) BRUTO, NORMAL, FAS, AD, .","['VIGA', '-', 'CUPIUBA', '(GOUPIA', 'GLABRA)', 'BRUTO,', 'NORMAL,', 'FAS,', 'AD,', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","viga - cupiuba (goupia glabra) bruto, normal, fas, ad, ."
MADEIRA SERRADA EM TABUAS DA ESSENCIA JATOBA (HYMENAEA COURBARIL L. ),"['MADEIRA', 'SERRADA', 'EM', 'TABUAS', 'DA', 'ESSENCIA', 'JATOBA', '(HYMENAEA', 'COURBARIL', 'L.', ')']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em tabuas da essencia jatoba (hymenaea courbaril l. )
JARANA SERRADA EM SARRAFOS,"['JARANA', 'SERRADA', 'EM', 'SARRAFOS']","[0, 0, 0, 0]",jarana serrada em sarrafos
PRANCHAS ESP. ANGELIM-FAVA HYMENOLOBIUM EXCELSUM DUCKE,"['PRANCHAS', 'ESP.', 'ANGELIM-FAVA', 'HYMENOLOBIUM', 'EXCELSUM', 'DUCKE']","[0, 0, 0, 0, 0, 0]",pranchas esp. angelim-fava hymenolobium excelsum ducke
"LINHA MASS 5 X 13 - 1,00","['LINHA', 'MASS', '5', 'X', '13', '-', '1,00']","[0, 0, 0, 0, 0, 0, 0]","linha mass 5 x 13 - 1,00"
LOURO SERRADO EM SARRAFO,"['LOURO', 'SERRADO', 'EM', 'SARRAFO']","[0, 0, 0, 0]",louro serrado em sarrafo
SAPUCAIA SERRADO EM RIPA,"['SAPUCAIA', 'SERRADO', 'EM', 'RIPA']","[0, 0, 0, 0]",sapucaia serrado em ripa
MADEIRA SERRADA EM VIGA ESPA CIE ANGELIM,"['MADEIRA', 'SERRADA', 'EM', 'VIGA', 'ESPA', 'CIE', 'ANGELIM']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada em viga espa cie angelim
CUPIUBA SERRADA EM TABUA TAIPA,"['CUPIUBA', 'SERRADA', 'EM', 'TABUA', 'TAIPA']","[0, 0, 0, 0, 0]",cupiuba serrada em tabua taipa
"LINHA ANGELIM (5X11CM) 3X5 2,50MT","['LINHA', 'ANGELIM', '(5X11CM)', '3X5', '2,50MT']","[0, 0, 0, 0, 0]","linha angelim (5x11cm) 3x5 2,50mt"
MADEIRA SERRADA EM VIGOTAS NA ESPÉCIE MUIRACATIARA,"['MADEIRA', 'SERRADA', 'EM', 'VIGOTAS', 'NA', 'ESPÉCIE', 'MUIRACATIARA']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada em vigotas na especie muiracatiara
LAMBRI DE TAUARI,"['LAMBRI', 'DE', 'TAUARI']","[0, 0, 0]",lambri de tauari
"LINHA 5X6 ANGELIM 4,50MT","['LINHA', '5X6', 'ANGELIM', '4,50MT']","[0, 0, 0, 0]","linha 5x6 angelim 4,50mt"
LINHA MACARANDUBA 5X14 MT,"['LINHA', 'MACARANDUBA', '5X14', 'MT']","[0, 0, 0, 0]",linha macaranduba 5x14 mt
MUIRACATIARA -  SERRADA EM TABUA,"['MUIRACATIARA', '-', 'SERRADA', 'EM', 'TABUA']","[0, 0, 0, 0, 0]",muiracatiara -  serrada em tabua
ANGELIM VERMELHO - PRANCHA,"['ANGELIM', 'VERMELHO', '-', 'PRANCHA']","[0, 0, 0, 0]",angelim vermelho - prancha
"VIGA NAO APARELHADA *6X20* CM, EM MACARANDUBA","['VIGA', 'NAO', 'APARELHADA', '*6X20*', 'CM,', 'EM', 'MACARANDUBA']","[0, 0, 0, 0, 0, 0, 0]","viga nao aparelhada *6x20* cm, em macaranduba"
TAUARI (CARINIANA MICRANTHA DUCKE),"['TAUARI', '(CARINIANA', 'MICRANTHA', 'DUCKE)']","[0, 0, 0, 0]",tauari (cariniana micrantha ducke)
"LINHA MACARANDUBA 5X13 5,0 MT","['LINHA', 'MACARANDUBA', '5X13', '5,0', 'MT']","[0, 0, 0, 0, 0]","linha macaranduba 5x13 5,0 mt"
"CX DE PORTA MASSARANDUBA 0,60X2,10X0,13","['CX', 'DE', 'PORTA', 'MASSARANDUBA', '0,60X2,10X0,13']","[0, 0, 0, 0, 0]","cx de porta massaranduba 0,60x2,10x0,13"
"BARROTE CUPIUBA - 5 X 6 - 2,0M","['BARROTE', 'CUPIUBA', '-', '5', 'X', '6', '-', '2,0M']","[0, 0, 0, 0, 0, 0, 0, 0]","barrote cupiuba - 5 x 6 - 2,0m"
GUAJARA-BOLACHA - MADEIRA SERRADA EM VIGA,"['GUAJARA-BOLACHA', '-', 'MADEIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0, 0, 0]",guajara-bolacha - madeira serrada em viga
CAIBRO 3X5 MISTO 4.5MT,"['CAIBRO', '3X5', 'MISTO', '4.5MT']","[0, 0, 0, 0]",caibro 3x5 misto 4.5mt
"JANELA 1,20MT TIMBORANA LAMBRI","['JANELA', '1,20MT', 'TIMBORANA', 'LAMBRI']","[0, 0, 0, 0]","janela 1,20mt timborana lambri"
LINHA MAD. SERRADA ANGELIM VERMELHO 3X5,"['LINHA', 'MAD.', 'SERRADA', 'ANGELIM', 'VERMELHO', '3X5']","[0, 0, 0, 0, 0, 0]",linha mad. serrada angelim vermelho 3x5
RAPA COCO DE MADEIRA,"['RAPA', 'COCO', 'DE', 'MADEIRA']","[0, 0, 0, 0]",rapa coco de madeira
"SERRADO TIPO FRECHAL 6CMX5CMX2,5M DUCKE","['SERRADO', 'TIPO', 'FRECHAL', '6CMX5CMX2,5M', 'DUCKE']","[0, 0, 0, 0, 0]","serrado tipo frechal 6cmx5cmx2,5m ducke"
"ESTEIO MASS 20 X 20 - 2,50","['ESTEIO', 'MASS', '20', 'X', '20', '-', '2,50']","[0, 0, 0, 0, 0, 0, 0]","esteio mass 20 x 20 - 2,50"
MADEIRA SERRADA DA ESPECIE CUPIUBA TIPO CAIBRO,"['MADEIRA', 'SERRADA', 'DA', 'ESPECIE', 'CUPIUBA', 'TIPO', 'CAIBRO']","[0, 0, 0, 0, 0, 0, 0]",madeira serrada da especie cupiuba tipo caibro
"RIPA ANGELIM 1,2X5","['RIPA', 'ANGELIM', '1,2X5']","[0, 0, 0]","ripa angelim 1,2x5"
CUPIUBA MADEIRA SERRADA EM VIGOTA,"['CUPIUBA', 'MADEIRA', 'SERRADA', 'EM', 'VIGOTA']","[0, 0, 0, 0, 0]",cupiuba madeira serrada em vigota
MADEIRA SERRADA (SARRAFOS) DA ESPECIE ANGELIM-VERMELHO (DINIZIA EXCELSA DUCKE),"['MADEIRA', 'SERRADA', '(SARRAFOS)', 'DA', 'ESPECIE', 'ANGELIM-VERMELHO', '(DINIZIA', 'EXCELSA', 'DUCKE)']","[0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada (sarrafos) da especie angelim-vermelho (dinizia excelsa ducke)
SUCUPIRA SERRADA EM VIGA,"['SUCUPIRA', 'SERRADA', 'EM', 'VIGA']","[0, 0, 0, 0]",sucupira serrada em viga
CAIBRO 3X5 ANGELIM 2.0MT,"['CAIBRO', '3X5', 'ANGELIM', '2.0MT']","[0, 0, 0, 0]",caibro 3x5 angelim 2.0mt
MADEIRA SERRADA EM RIPAS DA ESSENCIA MACARANDUBA (MANILKARA HUBERI (DUCKE) CHEVALIER),"['MADEIRA', 'SERRADA', 'EM', 'RIPAS', 'DA', 'ESSENCIA', 'MACARANDUBA', '(MANILKARA', 'HUBERI', '(DUCKE)', 'CHEVALIER)']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada em ripas da essencia macaranduba (manilkara huberi (ducke) chevalier)
FOLHA DE LOURO,"['FOLHA', 'DE', 'LOURO']","[0, 0, 0]",folha de louro
MADEIRA SERRADA TIPO (VIGA) DA ESPECIE - LOURO,"['MADEIRA', 'SERRADA', 'TIPO', '(VIGA)', 'DA', 'ESPECIE', '-', 'LOURO']","[0, 0, 0, 0, 0, 0, 0, 0]",madeira serrada tipo (viga) da especie - louro
JATOBA MADEIRA SERRADA TÁBUA,"['JATOBA', 'MADEIRA', 'SERRADA', 'TÁBUA']","[0, 0, 0, 0]",jatoba madeira serrada tabua
AMAPA SER EM PRANCHA,"['AMAPA', 'SER', 'EM', 'PRANCHA']","[0, 0, 0, 0]",amapa ser em prancha
"BARROTE ANGELIM AMARGOSO (5,0X6,5CM)","['BARROTE', 'ANGELIM', 'AMARGOSO', '(5,0X6,5CM)']","[0, 0, 0, 0]","barrote angelim amargoso (5,0x6,5cm)"
"PECA 5X9 COM 3,0M","['PECA', '5X9', 'COM', '3,0M']","[0, 0, 0, 0]","peca 5x9 com 3,0m"
